config_label,method,seed,val_acc,worst_acc,dp_diff,eo_diff,temperature,weight_scale,lr,w_std_mean,w_max_mean,w_min_mean,phi_std_mean
vanilla,vanilla,0,0.8368159532546997,0.7970873713493347,0.1962994858622551,0.11049443483352661,0.5,1.0,0.01,,,,
vanilla,vanilla,1,0.8352681398391724,0.7977346181869507,0.19878683239221573,0.13851606845855713,0.5,1.0,0.01,,,,
vanilla,vanilla,2,0.8375898599624634,0.7988672852516174,0.20099204033613205,0.12657326459884644,0.5,1.0,0.01,,,,
fairds-2/τ0.1/ws1.0,fairds-2,0,0.8289663195610046,0.7880258560180664,0.20928342640399933,0.16479149460792542,0.1,1.0,0.01,0.7210323719911172,3.300369186524494,0.28653936381266704,0.05015026514851292
fairds-2/τ0.1/ws1.0,fairds-2,1,0.8264234662055969,0.7857604622840881,0.15475523471832275,0.07161757349967957,0.1,1.0,0.01,0.9478752364994775,4.163876790172058,0.20684362950416238,0.05623107579112613
fairds-2/τ0.1/ws1.0,fairds-2,2,0.832835853099823,0.7943365573883057,0.22209880501031876,0.21393737196922302,0.1,1.0,0.01,0.8833446873885366,3.875964270790978,0.24789145413990382,0.05464653895092263
fairds-2/τ0.1/ws2.0,fairds-2,0,0.8193477392196655,0.7792879939079285,0.20978496968746185,0.20802190899848938,0.1,2.0,0.01,1.2038486422927166,4.886626494770319,0.019044642912621826,0.05025291308507043
fairds-2/τ0.1/ws2.0,fairds-2,1,0.8095080256462097,0.7661811709403992,0.13904589414596558,0.03973180055618286,0.1,2.0,0.01,1.547156115121125,6.193274561843961,0.0018256847940012594,0.05982823624962093
fairds-2/τ0.1/ws2.0,fairds-2,2,0.8270868062973022,0.7881876826286316,0.22478945925831795,0.23331540822982788,0.1,2.0,0.01,1.4609425409019272,5.772689478050375,0.008865185395760916,0.06047026524713761
fairds-2/τ0.1/ws4.0,fairds-2,0,0.8140408992767334,0.7729772925376892,0.20092934370040894,0.18736892938613892,0.1,4.0,0.01,1.6375870856600747,6.396105331098529,0.0,0.05319901640076592
fairds-2/τ0.1/ws4.0,fairds-2,1,0.8030956387519836,0.7585760354995728,0.14289464801549911,0.05510672926902771,0.1,4.0,0.01,1.9895550172653556,7.733410075684668,0.0,0.06302270474909268
fairds-2/τ0.1/ws4.0,fairds-2,2,0.8250967264175415,0.7862459421157837,0.22543670609593391,0.24027922749519348,0.1,4.0,0.01,1.8920860253589253,7.234497416970876,0.0,0.06526942928037453
fairds-2/τ0.3/ws1.0,fairds-2,0,0.8334991931915283,0.7941747307777405,0.2057168036699295,0.1519392728805542,0.3,1.0,0.01,0.2555209830333369,1.6781068185125718,0.6147580732896426,0.05682351790770818
fairds-2/τ0.3/ws1.0,fairds-2,1,0.8309563398361206,0.7917475700378418,0.17262829840183258,0.12379077076911926,0.3,1.0,0.01,0.3312500155972483,1.90026208000004,0.4957075271591492,0.054789608395155606
fairds-2/τ0.3/ws1.0,fairds-2,2,0.8343836665153503,0.7964401245117188,0.20874463766813278,0.19775882363319397,0.3,1.0,0.01,0.2914728764287183,1.7740846898634108,0.5600198553153641,0.05397014360560078
fairds-2/τ0.3/ws2.0,fairds-2,0,0.8292979598045349,0.7883495092391968,0.2064657211303711,0.15083047747612,0.3,2.0,0.01,0.45754991697033803,2.2367245361278876,0.31667519150861484,0.05206284560700398
fairds-2/τ0.3/ws2.0,fairds-2,1,0.8291873931884766,0.7899675965309143,0.16441992670297623,0.10522246360778809,0.3,2.0,0.01,0.5757613997714061,2.6161763438036743,0.20176111739191682,0.05539303997820112
fairds-2/τ0.3/ws2.0,fairds-2,2,0.8330569267272949,0.7943365573883057,0.2171935886144638,0.2013903260231018,0.3,2.0,0.01,0.5311217975798347,2.459012318385039,0.2655104946303826,0.05315711392185918
fairds-2/τ0.3/ws4.0,fairds-2,0,0.8239911794662476,0.7836569547653198,0.21206644922494888,0.20260486006736755,0.3,4.0,0.01,0.7746809726030054,3.1647438262549925,0.05325909047803602,0.048898448781962964
fairds-2/τ0.3/ws4.0,fairds-2,1,0.8175787925720215,0.7744336128234863,0.14419593662023544,0.044843703508377075,0.3,4.0,0.01,0.9586375607571131,3.796937290043898,0.012796474461762908,0.05466720581911679
fairds-2/τ0.3/ws4.0,fairds-2,2,0.8312880396842957,0.7932038307189941,0.21865670382976532,0.22776544094085693,0.3,4.0,0.01,0.9093299927985724,3.5868697491050328,0.03448371461691267,0.053460961070016653
fairds-2/τ0.5/ws1.0,fairds-2,0,0.8352681398391724,0.7962782979011536,0.20886746048927307,0.15849828720092773,0.5,1.0,0.01,0.16404844361221846,1.4059260746123086,0.7268094891078876,0.06033523716906986
fairds-2/τ0.5/ws1.0,fairds-2,1,0.8321725130081177,0.7933656573295593,0.17519188672304153,0.12786030769348145,0.5,1.0,0.01,0.21943971815173616,1.5408662694160926,0.6192919680822483,0.058673283873134655
fairds-2/τ0.5/ws1.0,fairds-2,2,0.8346047401428223,0.7969255447387695,0.20322692394256592,0.18474048376083374,0.5,1.0,0.01,0.1852641327315373,1.4457627027247433,0.6756721201602002,0.05543254641947192
fairds-2/τ0.5/ws2.0,fairds-2,0,0.8326147198677063,0.7927184104919434,0.20687488466501236,0.1509302258491516,0.5,2.0,0.01,0.2910861500307148,1.73780024633721,0.517474973841872,0.05549663230864235
fairds-2/τ0.5/ws2.0,fairds-2,1,0.8309563398361206,0.7917475700378418,0.17101016640663147,0.12126806378364563,0.5,2.0,0.01,0.3734813989328107,1.9674582133270766,0.3677825615845157,0.055549534308798436
fairds-2/τ0.5/ws2.0,fairds-2,2,0.8339414000511169,0.7953073978424072,0.2101755142211914,0.19277989864349365,0.5,2.0,0.01,0.328787041049748,1.833016807148714,0.45336610959764095,0.05386328864143068
fairds-2/τ0.5/ws4.0,fairds-2,0,0.8288557529449463,0.7878640294075012,0.207401841878891,0.15779435634613037,0.5,4.0,0.01,0.5218880308136135,2.3600023772235206,0.19781159721937291,0.05093740895215614
fairds-2/τ0.5/ws4.0,fairds-2,1,0.8274185061454773,0.7870550155639648,0.15973668545484543,0.08466917276382446,0.5,4.0,0.01,0.6432751334049333,2.7431924514927215,0.107074334926055,0.055295705016999736
fairds-2/τ0.5/ws4.0,fairds-2,2,0.8320619463920593,0.7930420637130737,0.21657176315784454,0.20085257291793823,0.5,4.0,0.01,0.5945717769609371,2.571061430570665,0.16298293792748547,0.053273752127979565
fairds-2/τ1.0/ws1.0,fairds-2,0,0.8373687267303467,0.7987054586410522,0.20337516069412231,0.14201462268829346,1.0,1.0,0.01,0.09070750117266961,1.2090768547684934,0.8357711505022407,0.06462092369165219
fairds-2/τ1.0/ws1.0,fairds-2,1,0.8336097598075867,0.7953073978424072,0.18223537504673004,0.13751304149627686,1.0,1.0,0.01,0.12962471113448412,1.28208027977339,0.7528425346307911,0.06858147379413178
fairds-2/τ1.0/ws1.0,fairds-2,2,0.8352681398391724,0.7972491383552551,0.20108184963464737,0.16829001903533936,1.0,1.0,0.01,0.10354599513708146,1.2218415271508303,0.7976350356295635,0.05888743159654135
fairds-2/τ1.0/ws2.0,fairds-2,0,0.835157573223114,0.7961164712905884,0.20967653393745422,0.1595073938369751,1.0,2.0,0.01,0.1596795265418543,1.37445450013792,0.7114134724780987,0.0601640353276626
fairds-2/τ1.0/ws2.0,fairds-2,1,0.8317302465438843,0.7925565838813782,0.17468103021383286,0.12335264682769775,1.0,2.0,0.01,0.21479872279743634,1.4957199873498908,0.5853653898261523,0.058282504710827916
fairds-2/τ1.0/ws2.0,fairds-2,2,0.834825873374939,0.7972491383552551,0.20387417078018188,0.18625408411026,1.0,2.0,0.01,0.1780755469216987,1.4012802470457946,0.6560787004527981,0.055029312787061566
fairds-2/τ1.0/ws4.0,fairds-2,0,0.8322830200195312,0.7920711636543274,0.20620222389698029,0.14642256498336792,1.0,4.0,0.01,0.29126781819851744,1.7082191733687138,0.4856377266608113,0.05587728417482874
fairds-2/τ1.0/ws4.0,fairds-2,1,0.831066906452179,0.7915857434272766,0.17047391086816788,0.11528003215789795,1.0,4.0,0.01,0.37213336652573287,1.9188555299396246,0.32727599486636494,0.05675443228806409
fairds-2/τ1.0/ws4.0,fairds-2,2,0.8339414000511169,0.7953073978424072,0.2101755142211914,0.19277989864349365,1.0,4.0,0.01,0.3229617320910586,1.7772955220629911,0.4215173587521118,0.05466656420344898
ren2018/lr0.005,ren2018,0,0.8166943192481995,0.7765371799468994,0.20285246521234512,0.20435714721679688,0.5,1.0,0.005,,,,
ren2018/lr0.005,ren2018,1,0.807296872138977,0.7660194039344788,0.15122077614068985,0.11263042688369751,0.5,1.0,0.005,,,,
ren2018/lr0.005,ren2018,2,0.8237700462341309,0.7854368686676025,0.2256239503622055,0.2507416903972626,0.5,1.0,0.005,,,,
ren2018/lr0.01,ren2018,0,0.8203427195549011,0.7810679078102112,0.20025668293237686,0.18750187754631042,0.5,1.0,0.01,,,,
ren2018/lr0.01,ren2018,1,0.8117191791534424,0.7700647115707397,0.15187057107686996,0.07939115166664124,0.5,1.0,0.01,,,,
ren2018/lr0.01,ren2018,2,0.8287451863288879,0.7893203496932983,0.21050846576690674,0.19321796298027039,0.5,1.0,0.01,,,,
ren2018/lr0.02,ren2018,0,0.8243228197097778,0.7867313623428345,0.20666225999593735,0.1962452232837677,0.5,1.0,0.02,,,,
ren2018/lr0.02,ren2018,1,0.8164731860160828,0.7749190926551819,0.14721275866031647,0.05547228455543518,0.5,1.0,0.02,,,,
ren2018/lr0.02,ren2018,2,0.831066906452179,0.7935274839401245,0.20576763898134232,0.17986124753952026,0.5,1.0,0.02,,,,
ren2018/lr0.05,ren2018,0,0.8263128995895386,0.7885112762451172,0.20676645636558533,0.17441096901893616,0.5,1.0,0.05,,,,
ren2018/lr0.05,ren2018,1,0.8244333863258362,0.7852750420570374,0.16279756277799606,0.08584439754486084,0.5,1.0,0.05,,,,
ren2018/lr0.05,ren2018,2,0.8312880396842957,0.7927184104919434,0.21810516715049744,0.14638328552246094,0.5,1.0,0.05,,,,
